"","Code","fid","Governance.Units","Provinces","Districts","Name.of.Government.Unit","Hospital","Primary.Health.Care.Centers","Health.Post","Urban.Health.Centers","Community.Health.Unit","Other.Health.Facilities","Total","Non.public.health.facilities","Total.health.facilities..Public.and.Non.Public.","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"125",10501,126,"Rural Municipality","Koshi Province","Khotang","Kepilasgadhi Rural Municipality",0,0,7,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"126",10508,127,"Rural Municipality","Koshi Province","Khotang","Khotehang Rural Municipality",0,0,9,0,0,0,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,""
"127",10503,128,"Rural Municipality","Koshi Province","Khotang","Rawa Besi Rural Municipality",0,0,6,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"128",10505,129,"Municipality ","Koshi Province","Khotang","Rupakot Majhuwagadhi Municipality",1,0,12,3,0,0,16,2,18,NA,NA,NA,NA,NA,NA,NA,NA,""
"129",10506,130,"Rural Municipality","Koshi Province","Khotang","Sakela Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"130",11401,131,"Municipality ","Koshi Province","Udayapur","Belaka Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"131",11402,132,"Municipality ","Koshi Province","Udayapur","Chaudandigadhi Municipality",0,1,5,0,0,0,6,1,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"132",11407,133,"Municipality ","Koshi Province","Udayapur","Katari Municipality",1,0,8,0,0,0,9,1,10,NA,NA,NA,NA,NA,NA,NA,NA,""
"133",11404,134,"Rural Municipality","Koshi Province","Udayapur","Rautamai Rural Municipality",0,0,6,0,0,0,6,1,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"134",11405,135,"Rural Municipality","Koshi Province","Udayapur","Sunkoshi Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"135",11406,136,"Rural Municipality","Koshi Province","Udayapur","Tapli Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"136",11403,137,"Municipality ","Koshi Province","Udayapur","Triyuga Municipality",1,0,6,6,0,0,13,3,16,NA,NA,NA,NA,NA,NA,NA,NA,""
"137",11408,138,"Rural Municipality","Koshi Province","Udayapur","Udayapurgadhi Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"138",20103,140,"Rural Municipality","Madhesh Province","Saptari","Agnisair Krishna Sabaran Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"139",20108,141,"Rural Municipality","Madhesh Province","Saptari","Balan-Bihul Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"140",20111,142,"Rural Municipality","Madhesh Province","Saptari","Belhi Chapena Rural Municipality",0,0,6,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"141",20112,143,"Rural Municipality","Madhesh Province","Saptari","Bishnupur Rural Municipality",0,0,2,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,""
"142",20109,144,"Municipality ","Madhesh Province","Saptari","BodeBarsain Municipality",0,0,9,0,0,0,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,""
"143",20118,145,"Rural Municipality","Madhesh Province","Saptari","Chhinnamasta Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"144",20110,146,"Municipality ","Madhesh Province","Saptari","Dakneshwori Municipality",0,0,9,0,0,0,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,""
"145",20116,147,"Municipality ","Madhesh Province","Saptari","Hanumannagar Kankalini Municipality",1,0,8,0,0,0,9,1,10,NA,NA,NA,NA,NA,NA,NA,NA,""
